EXPERIMENTALCONDITION,PARTICIPANTID,COMPUTERID,EXPERIMENT,DPS,BLOCKDP,DP,ABSORDER,RELORDER,DATE,TIME,NDESCRIPTIVETRIALS,LEARNINGMODE,PREFERREDROUTE,CONTROLROUTE_C,TREATMENTROUTE_T,PREFERREDDIRECTION,CONTROLALTERNATIVE_C,TREATMENTALTERNATIVE_T,PREFERREDALTERNATIVE_T
descriptiveControl,63,C00,2,6,4,6,5,5,18072017,170001,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,63,C00,3,6,3,11,6,6,18072017,170004,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,63,C00,2,6,1,3,7,7,18072017,170010,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,63,C00,3,6,5,13,8,8,18072017,170017,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,63,C00,1,2,1,1,9,9,18072017,170023,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,63,C00,2,6,2,4,10,10,18072017,170031,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,63,C00,2,6,6,8,11,11,18072017,170034,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,63,C00,3,6,2,10,12,12,18072017,170038,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,63,C00,3,6,4,12,13,13,18072017,170046,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,63,C00,1,2,2,2,14,14,18072017,170051,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,62,B00,3,6,6,14,1,1,18072017,170321,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,62,B00,3,6,4,12,2,2,18072017,170341,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,62,B00,1,2,2,2,3,3,18072017,170347,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,62,B00,2,6,4,6,4,4,18072017,170358,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,62,B00,2,6,1,3,5,5,18072017,170406,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,62,B00,2,6,6,8,6,6,18072017,170412,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,62,B00,3,6,3,11,7,7,18072017,170427,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
